Hash,Version,Path,Description
c9e23451f5b21cf40b91d1043ccde3d0,1.1.36.02,"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Ahk2Exe.lnk",""
af0eb7ba6862889d0678267560280db9,2.0.2,"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AutoHotkey Window Spy.lnk",""
11d0cc5f80308f1ee28d841fccb4e24c,2.0.2,"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AutoHotkey.lnk",""
80304eadee877476d170409fc79e3893,1.1.36.02,"Compiler\Ahk2Exe.exe","AutoHotkey Script Compiler"
e3f2ad7733f3166fe770e4dc00af6c45,2.0.2,"license.txt",""
99ec2b896ef799981db726d05baac05c,2.0.2,"UX\AutoHotkeyUX.exe","AutoHotkey 64-bit"
165b8fc572f943e3665994f87f1772b7,2.0.2,"UX\inc\bounce-v1.ahk",""
e8d9a7e78d6a2a40bfb532b4812bde59,2.0.2,"UX\inc\CommandLineToArgs.ahk",""
dac79ad5a978f0497de70a005b6a6084,2.0.2,"UX\inc\common.ahk",""
248b58535f55eb55d9baec04a384b5e6,2.0.2,"UX\inc\config.ahk",""
2ffbde65b63790c5aa12996e9ef9068c,2.0.2,"UX\inc\CreateAppShortcut.ahk",""
a3e0ea84c0e5d1cc8681ddb3740ea3e5,2.0.2,"UX\inc\EnableUIAccess.ahk",""
1a8ab9bb38fd0da51d03dc48e3a0b2ea,2.0.2,"UX\inc\GetGitHubReleaseAssetURL.ahk",""
727ae6f2ec77a5b56774df9da14636d2,2.0.2,"UX\inc\HashFile.ahk",""
c4f4b01aac51b0d52243a3c6b508273f,2.0.2,"UX\inc\identify.ahk",""
56b3cbe632d3bc9eca60cc289e9f99fb,2.0.2,"UX\inc\identify_regex.ahk",""
696750c1861231d07ff4548ad4360dc8,2.0.2,"UX\inc\launcher-common.ahk",""
4b095aae00456aa248024a184671e4d5,2.0.2,"UX\inc\README.txt",""
9e53fca8c7f6a9ee179f0fc0a7890ea3,2.0.2,"UX\inc\ShellRun.ahk",""
eeecd8af162d3f318496e0e60d6d8c57,2.0.2,"UX\inc\spy.ico",""
f4251e653dbbbdd8cf4640bd9855c207,2.0.2,"UX\inc\ui-base.ahk",""
c90bed0679b789b74e4865ae6f2709a3,2.0.2,"UX\install-ahk2exe.ahk",""
6f86c34ca7092ae85acc35f6cdd9b584,2.0.2,"UX\install-version.ahk",""
c7fe49395bde333ec9f4e16cd81fc748,2.0.2,"UX\install.ahk",""
96c2556250d7040a09e4fbf7b7880eab,2.0.2,"UX\launcher.ahk",""
35f4753a58432446b99bf89a9e930bf5,2.0.2,"UX\reload-v1.ahk",""
40daa2aff3aa10f66f7e2c30f57481ec,2.0.2,"UX\reset-assoc.ahk",""
cdc8756680c459bd511d2bd2895fe2b2,2.0.2,"UX\Templates\Minimal for v2.ahk",""
669bd791c5aafb60ee0885ef064d3622,2.0.2,"UX\ui-dash.ahk",""
180dd58400f62dc7edfa6ba435c408ae,2.0.2,"UX\ui-editor.ahk",""
b0cb2a02429abfaa728f704d622946c5,2.0.2,"UX\ui-launcherconfig.ahk",""
934681c007b629a500316517a7827300,2.0.2,"UX\ui-newscript.ahk",""
bae998e735cbd60d3d77b6d409e1f1d8,2.0.2,"UX\ui-setup.ahk",""
0fe4932669e99a498a7bc76975919000,2.0.2,"UX\ui-uninstall.ahk",""
765cc539c9eb2b35b5e2784eb8b68695,2.0.2,"UX\WindowSpy.ahk",""
55cc8230e610a645fc756d34dc2b9a44,1.1.36.02,"v1.1.36.02\ANSI 32-bit.bin",""
b51639a593dea83408986e181e856888,1.1.36.02,"v1.1.36.02\AutoHotkey.chm",""
87cc812d84e48b1d8528697807ba89b7,1.1.36.02,"v1.1.36.02\AutoHotkeyA32.exe","AutoHotkey ANSI 32-bit"
e4734b47117820b37d348f802e3efb4a,1.1.36.02,"v1.1.36.02\AutoHotkeyA32_UIA.exe","AutoHotkey ANSI 32-bit UIA"
a88db4d095e6d5a0b43ba59a20e5bf5d,1.1.36.02,"v1.1.36.02\AutoHotkeyU32.exe","AutoHotkey Unicode 32-bit"
e77378af40763053abdbf0509cc3e60a,1.1.36.02,"v1.1.36.02\AutoHotkeyU32_UIA.exe","AutoHotkey Unicode 32-bit UIA"
d382f16b409cce68cdf4c1c921ad5a9d,1.1.36.02,"v1.1.36.02\AutoHotkeyU64.exe","AutoHotkey Unicode 64-bit"
43c1bbcfb847e2c2df551e746340b868,1.1.36.02,"v1.1.36.02\AutoHotkeyU64_UIA.exe","AutoHotkey Unicode 64-bit UIA"
b02b5288a320cae687e8cc5a039d5bba,1.1.36.02,"v1.1.36.02\Unicode 32-bit.bin",""
a28d946a75f7cac7e3c40f9b99870e40,1.1.36.02,"v1.1.36.02\Unicode 64-bit.bin",""
d7ec8fe26d26746b74f244026dc70152,2.0.2,"v2\AutoHotkey.chm",""
756e244fdf729022c26f2de05c4a7249,2.0.2,"v2\AutoHotkey32.exe","AutoHotkey 32-bit"
12d794ab7fea4ab8a92c9901ba91e95d,2.0.2,"v2\AutoHotkey32_UIA.exe","AutoHotkey 32-bit UIA"
99ec2b896ef799981db726d05baac05c,2.0.2,"v2\AutoHotkey64.exe","AutoHotkey 64-bit"
d64f0d7e7325a78666093649a872daf3,2.0.2,"v2\AutoHotkey64_UIA.exe","AutoHotkey 64-bit UIA"
e5918a52b52ca3ce2e99788a26477984,2.0.2,"WindowSpy.ahk",""
